State	series_id	year	month	value	month_year
Georgia	LAUCA133560000000003          	2020	6	7.5	06_2020
Georgia	LAUCA133560000000004          	2015	6	12508.0	06_2015
Georgia	LAUCA133560000000004          	2016	6	11166.0	06_2016
Georgia	LAUCA133560000000004          	2017	6	10137.0	06_2017
Georgia	LAUCA133560000000004          	2018	6	8862.0	06_2018
Georgia	LAUCA133560000000004          	2019	6	7893.0	06_2019
Georgia	LAUCA133560000000004          	2020	6	13929.0	06_2020
Georgia	LAUCA133560000000005          	2015	6	170467.0	06_2015
Georgia	LAUCA133560000000005          	2016	6	176260.0	06_2016
Georgia	LAUCA133560000000005          	2017	6	182102.0	06_2017
Georgia	LAUCA133560000000005          	2018	6	183787.0	06_2018
Georgia	LAUCA133560000000005          	2019	6	182732.0	06_2019
Georgia	LAUCA133560000000005          	2020	6	171816.0	06_2020
Georgia	LAUCA133560000000006          	2015	6	182975.0	06_2015
Georgia	LAUCA133560000000006          	2016	6	187426.0	06_2016
Georgia	LAUCA133560000000006          	2017	6	192239.0	06_2017
Georgia	LAUCA133560000000006          	2018	6	192649.0	06_2018
Georgia	LAUCA133560000000006          	2019	6	190625.0	06_2019
Georgia	LAUCA133560000000006          	2020	6	185745.0	06_2020
Georgia	LAUCA134700000000003          	2015	6	7.1	06_2015
Georgia	LAUCA134700000000003          	2016	6	6.4	06_2016
Georgia	LAUCA134700000000003          	2017	6	5.4	06_2017
Georgia	LAUCA134700000000003          	2018	6	4.6	06_2018
Georgia	LAUCA134700000000003          	2019	6	4.1	06_2019
Georgia	LAUCA134700000000003          	2020	6	8.6	06_2020
Georgia	LAUCA134700000000004          	2015	6	3774.0	06_2015
Georgia	LAUCA134700000000004          	2016	6	3455.0	06_2016
Georgia	LAUCA134700000000004          	2017	6	2992.0	06_2017
Georgia	LAUCA134700000000004          	2018	6	2571.0	06_2018
Georgia	LAUCA134700000000004          	2019	6	2223.0	06_2019
Georgia	LAUCA134700000000004          	2020	6	4492.0	06_2020
Georgia	LAUCA134700000000005          	2015	6	49138.0	06_2015
Georgia	LAUCA134700000000005          	2016	6	50302.0	06_2016
Georgia	LAUCA134700000000005          	2017	6	52274.0	06_2017
Georgia	LAUCA134700000000005          	2018	6	52732.0	06_2018
Georgia	LAUCA134700000000005          	2019	6	52461.0	06_2019
Georgia	LAUCA134700000000005          	2020	6	47822.0	06_2020
Georgia	LAUCA134700000000006          	2015	6	52912.0	06_2015
Georgia	LAUCA134700000000006          	2016	6	53757.0	06_2016
Georgia	LAUCA134700000000006          	2017	6	55266.0	06_2017
Georgia	LAUCA134700000000006          	2018	6	55303.0	06_2018
Georgia	LAUCA134700000000006          	2019	6	54684.0	06_2019
Georgia	LAUCA134700000000006          	2020	6	52314.0	06_2020
Georgia	LAUCA134960000000003          	2015	6	6.4	06_2015
Georgia	LAUCA134960000000003          	2016	6	5.8	06_2016
Georgia	LAUCA134960000000003          	2017	6	5.0	06_2017
Georgia	LAUCA134960000000003          	2018	6	4.3	06_2018
Georgia	LAUCA134960000000003          	2019	6	3.8	06_2019
Georgia	LAUCA134960000000003          	2020	6	8.8	06_2020
Georgia	LAUCA134960000000004          	2015	6	15480.0	06_2015
Georgia	LAUCA134960000000004          	2016	6	14634.0	06_2016
