Product Id,Zip Code,Nearby Target Address,Store Pickup Availability,Availiable Qty
83206532,11510,"2003 Broadway Mall,Hicksville,New York,11801-2719",UNAVAILABLE,0.0
83206532,11510,"160-08 Jamaica Ave,Jamaica,New York,11432-6110",UNAVAILABLE,0.0
83206532,11510,"1149 Sunrise Hwy,Copiague,New York,11726-1330",IN_STOCK,1.0
83206532,11510,"100 Willow Park Ctr,Farmingdale,New York,11735-1001",IN_STOCK,2.0
83206532,11510,"7000 AUSTIN ST,FOREST HILLS,New York,11375-1022",UNAVAILABLE,0.0
83206532,11510,"519 Gateway Dr,Brooklyn,New York,11239-2801",OUT_OF_STOCK,0.0
83206532,11510,"4024 College Point Blvd,Flushing,New York,11354-5112",IN_STOCK,1.0
83206532,11510,"101 Shore Rd,Port Washington,New York,11050-2259",UNAVAILABLE,0.0
83206532,11510,"13505 20th Ave,College Point,New York,11356-2446",OUT_OF_STOCK,0.0
83206532,11510,"8801 Queens Blvd,Elmhurst,New York,11373-4449",IN_STOCK,1.0
83206532,11510,"40-25 82nd St,Elmhurst,New York,11373-1304",UNAVAILABLE,0.0
83206532,11510,"124 E Jericho Tpke,Huntington Station,New York,11746-7324",IN_STOCK,3.0
83206532,11510,"815 E Hutchinson River Pkwy,Bronx,New York,10465-1818",IN_STOCK,2.0
83206532,11510,"5200 Kings Hwy, Ste A,Brooklyn,New York,11234-1130",UNAVAILABLE,0.0
83206532,04106,"200 Running Hill Rd,South Portland,Maine,04106-3258",IN_STOCK,2.0
83206532,04106,"430 Mariner Way,Biddeford,Maine,04005-9440",UNAVAILABLE,0.0
83206532,04106,"125 Topsham Fair Mall Rd,Topsham,Maine,04086-1799",IN_STOCK,2.0
83206532,04106,"11 Andrews Rd,Somersworth,New Hampshire,03878-1042",IN_STOCK,5.0
83206532,04106,"1450 Greenland Rd,Greenland,New Hampshire,03840-2438",OUT_OF_STOCK,0.0
83206532,37363,"1816 Gunbarrel Rd,Chattanooga,Tennessee,37421-3129",IN_STOCK,3.0
83206532,37363,"5579 Highway 153,Hixson,Tennessee,37343-3748",IN_STOCK,2.0
83206532,37363,"4570 Frontage Rd NW,Cleveland,Tennessee,37312-2905",UNAVAILABLE,0.0
83206532,30120,"100 Cherokee Pl,Cartersville,Georgia,30121-2954",UNAVAILABLE,0.0
83206532,30120,"3378 Cobb Pkwy NW,Acworth,Georgia,30101-8304",IN_STOCK,2.0
83206532,30120,"140 Woodstock Square Ave,Woodstock,Georgia,30189-6500",IN_STOCK,3.0
83206532,30120,"740 Ernest W Barrett Pkwy NW,Kennesaw,Georgia,30144-6860",OUT_OF_STOCK,0.0
83206532,30120,"2535 Dallas Hwy SW,Marietta,Georgia,30064-2543",IN_STOCK,4.0
83206532,30120,"5220 Jimmy Lee Smith Pkwy,Hiram,Georgia,30141-2739",IN_STOCK,2.0
83206532,30120,"2022 Cumming Hwy,Canton,Georgia,30115-8071",IN_STOCK,2.0
83206532,30120,"3040 Shallowford Rd,Marietta,Georgia,30062-1252",UNAVAILABLE,0.0
83206532,30120,"4125 Austell Rd,Austell,Georgia,30106-1836",UNAVAILABLE,0.0
83206532,30120,"1135 Woodstock Rd,Roswell,Georgia,30075-2231",IN_STOCK,6.0
83206532,30120,"1401 Johnson Ferry Rd,Marietta,Georgia,30062-6495",IN_STOCK,3.0
83206532,30120,"2201 Cobb Pkwy SE,Smyrna,Georgia,30080-7633",OUT_OF_STOCK,0.0
83206532,30120,"2950 Chapel Hill Rd,Douglasville,Georgia,30135-1708",IN_STOCK,2.0
83206532,30120,"5570 Roswell Rd,Sandy Springs,Georgia,30342-1102",OUT_OF_STOCK,0.0
83206532,30120,"6000 N Point Pkwy,Alpharetta,Georgia,30022-3006",IN_STOCK,1.0
83206532,30120,"13055 Highway 9 N,Milton,Georgia,30004-5137",IN_STOCK,2.0
83206532,30120,"100 Perimeter Center Pl,Atlanta,Georgia,30346-1204",IN_STOCK,4.0
83206532,30120,"3535 Peachtree Rd NE,Atlanta,Georgia,30326-3287",IN_STOCK,4.0
83206532,30120,"2539 Piedmont Rd NE,Atlanta,Georgia,30324-3006",IN_STOCK,1.0
83206532,30120,"375 18th St,Atlanta,Georgia,30363-1190",IN_STOCK,9.0
83206532,11003,"1730 Hempstead TPK,Elmont,New York,11003-1856",UNAVAILABLE,0.0
83206532,11003,"500 W Sunrise Hwy,Valley Stream,New York,11581-1001",IN_STOCK,1.0
83206532,11003,"160-08 Jamaica Ave,Jamaica,New York,11432-6110",UNAVAILABLE,0.0
83206532,11003,"345 Rockaway Tpke,Lawrence,New York,11559-1048",UNAVAILABLE,0.0
83206532,11003,"999 Corporate Dr,Westbury,New York,11590-6614",OUT_OF_STOCK,0.0
83206532,11003,"248 Sunrise Hwy,Freeport,New York,11520-3943",UNAVAILABLE,0.0
83206532,11003,"7000 AUSTIN ST,FOREST HILLS,New York,11375-1022",UNAVAILABLE,0.0
83206532,11003,"4024 College Point Blvd,Flushing,New York,11354-5112",IN_STOCK,1.0
83206532,11003,"13505 20th Ave,College Point,New York,11356-2446",OUT_OF_STOCK,0.0
83206532,11003,"8801 Queens Blvd,Elmhurst,New York,11373-4449",IN_STOCK,1.0
83206532,11003,"519 Gateway Dr,Brooklyn,New York,11239-2801",OUT_OF_STOCK,0.0
83206532,11003,"101 Shore Rd,Port Washington,New York,11050-2259",UNAVAILABLE,0.0
83206532,11003,"40-25 82nd St,Elmhurst,New York,11373-1304",UNAVAILABLE,0.0
83206532,11003,"2003 Broadway Mall,Hicksville,New York,11801-2719",UNAVAILABLE,0.0
83206532,11003,"815 E Hutchinson River Pkwy,Bronx,New York,10465-1818",IN_STOCK,2.0
83206532,11003,"3850 Hempstead Tpke,Levittown,New York,11756-1303",UNAVAILABLE,4.0
83206532,11003,"5200 Kings Hwy, Ste A,Brooklyn,New York,11234-1130",UNAVAILABLE,0.0
83206532,11003,"517 E 117th Street,New York,New York,10035-4410",IN_STOCK,1.0
83206532,11003,"1598 Flatbush Ave,Brooklyn,New York,11210-3036",IN_STOCK,2.0
83206532,11003,"150 E 86th St,New York,New York,10028-2118",UNAVAILABLE,0.0
83206532,07726,"55 US Hwy 9,Manalapan,New Jersey,07726-3018",IN_STOCK,3.0
83206532,07726,"70 Princeton Hightstown Rd,East Windsor,New Jersey,08520-1933",OUT_OF_STOCK,0.0
83206532,07726,"400 Ryders Ln,Milltown,New Jersey,08850-1700",IN_STOCK,3.0
83206532,07726,"4955 US Highway 9,Howell,New Jersey,07731-3750",IN_STOCK,1.0
83206532,07726,"2105 Route 35,Middletown,New Jersey,07748-1301",IN_STOCK,2.0
83206532,07726,"101 Grand Ave,North Brunswick,New Jersey,08902-1056",UNAVAILABLE,0.0
83206532,07726,"4196 US Highway 1,Monmouth Junction,New Jersey,08852-1904",IN_STOCK,2.0
83206532,07726,"2331 Route 66,Ocean,New Jersey,07712-3961",IN_STOCK,2.0
83206532,07726,"2900 Veterans Rd W,Staten Island,New York,10309-2500",OUT_OF_STOCK,0.0
83206532,07726,"100 Parsonage Rd,Edison,New Jersey,08837-2424",IN_STOCK,1.0
83206532,07726,"500 Nassau Park Blvd,Princeton,New Jersey,08540-5991",IN_STOCK,2.0
