Sr.No,City,2010 Census,2005(Estt.),2004(Estt.),2003(Estt.),2002(Estt.),2001(Estt.),2000 Census
83,Noblesville,"51,969","38,825","35,438","33,403","32,283","30,750","28,590"
84,North Vernon,"6,728","6,433","6,454","6,425","6,463","6,499","6,515"
85,Oakland City,"2,429","3,196","2,904","2,592","2,566","2,567","2,588"
86,Peru,"11,417","12,732","12,856","12,923","12,991","13,006","12,994"
87,Petersburg,"2,383","2,501","2,542","2,539","2,546","2,545","2,570"
88,Plymouth,"10,033","10,876","10,728","10,566","10,431","10,188","9,840"
89,Portage,"36,828","35,687","35,269","34,843","34,475","33,863","33,496"
90,Portland,"6,223","6,191","6,249","6,287","6,319","6,371","6,437"
91,Princeton,"8,644","10,152","9,659","9,127","8,758","8,471","8,175"
92,Rensselaer,"5,859","6,234","6,209","6,203","6,140","6,119","5,294"
93,Richmond,"36,812","37,560","37,943","38,236","38,472","38,658","39,124"
94,Rising Sun,"2,304","2,405","2,435","2,449","2,468","2,466","2,470"
95,Rochester,"6,218","6,451","6,424","6,413","6,463","6,454","6,414"
96,Rockport,"2,270","2,091","2,092","2,116","2,143","2,176","2,160"
97,Rushville,"6,341","5,679","5,785","5,819","5,830","5,898","5,995"
98,Salem,"6,319","6,453","6,417","6,386","6,388","6,262","6,172"
99,Scottsburg,"6,747","6,060","6,034","6,046","6,042","6,071","6,040"
100,Seymour,"17,503","18,890","18,704","18,510","18,387","18,293","18,101"
101,Shelbyville,"19,191","18,063","17,848","17,839","17,949","18,101","17,951"
102,South Bend,"1,01,168","1,05,262","1,05,494","1,05,746","1,06,327","1,06,808","1,07,789"
103,Southport,"1,712","1,729","1,752","1,773","1,793","1,826","1,852"
104,Sullivan,"4,249","4,537","4,576","4,609","4,622","4,620","4,617"
105,Tell City,"7,272","7,690","7,698","7,712","7,763","7,818","7,845"
106,Terre Haute,"60,785","56,893","57,224","58,189","58,590","58,917","59,614"
107,Tipton,"5,106","5,254","5,337","5,320","5,350","5,341","5,251"
